t2.actividad,codigo_proceso,matched_codigo_arquetipo,matched_nombre_arquetipo,Capacidad de Procesos (Nivel 3),Código Capacidad,Arquetipos Relacionado
notificar inconsistencia ,T081001,ARQ140,Administrar servicio en canales,Notificar inconsistencias,,
conciliar transacciones ,T081001,ARQ140,Administrar servicio en canales,Conciliar transacciones y registros operativos,,
atender requerimientos ,T081001,ARQ140,Administrar servicio en canales,Atender requerimientos de auditorÃ­a,,
solicitar ajuste ,T081001,ARQ114,Realizar Vinculación,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
gestionar alerta ,T081001,ARQ114,Realizar Vinculación,Gestionar alertas,,
generar documentos de pago ,T081001,ARQ140,Administrar servicio en canales,Generar documento,,Abrir producto
generar documentos de pago ,T081001,ARQ140,Administrar servicio en canales,Generar documento,,Aplicar novedad
recibir solicitud ,T120302,ARQ056,Administrar el servicio de los canales,Recibir solicitud,,
recibir solicitud de contabilización ,T140002,ARQ056,Administrar el servicio de los canales,Recibir solicitud,,
solicitar ajustes ,T140002,ARQ056,Administrar el servicio de los canales,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
notificar al cliente ,T140002,ARQ056,Administrar el servicio de los canales,Notificar al clientes activaciÃ³n del producto,,
registrar alerta ,T140003,ARQ056,Administrar el servicio de los canales,Registrar alertas de cumplimiento.,,
procesar datos ,T140003,ARQ056,Administrar el servicio de los canales,Procesar dato,,Generar informaciÃ³n
atender solicitud ,T160021,ARQ123,Ejecutar cuadre contable del producto,Atender solicitudes de entes externos.,,
atender solicitud ,T160021,ARQ123,Ejecutar cuadre contable del producto,Atender solicitudes de desembolso,,
atender solicitud ,T160021,ARQ123,Ejecutar cuadre contable del producto,Atender solicitudes AQR's ,,
atender solicitud ,T160021,ARQ123,Ejecutar cuadre contable del producto,Atender solicitudes del usuario,,
notificar inconsistencia ,T160021,ARQ123,Ejecutar cuadre contable del producto,Notificar inconsistencias,,
aplicar novedad ,T160021,ARQ123,Ejecutar cuadre contable del producto,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T160021,ARQ123,Ejecutar cuadre contable del producto,Aplicar novedad financiera,,Aplicar novedad
notificar inconsistencias del proceso ,T160021,ARQ123,Ejecutar cuadre contable del producto,Notificar inconsistencias,,
recibir solicitud ,T160021,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
generar alerta ,T160021,ARQ123,Ejecutar cuadre contable del producto,Generar alerta documental,,Procesar documento
generar alerta ,T160021,ARQ123,Ejecutar cuadre contable del producto,Generar alertas de eventos o inconsistencias,,
atender novedades ,T160021,ARQ123,Ejecutar cuadre contable del producto,Atender novedades por cambios de tarifas,,
atender novedades ,T160021,ARQ123,Ejecutar cuadre contable del producto,Atender novedades operativas,,
registrar la solicitud en bizagi ,T160021,ARQ123,Ejecutar cuadre contable del producto,Registrar la solicitud,,Atender solicitudes de usuarios
registrar la solicitud en bizagi ,T160021,ARQ123,Ejecutar cuadre contable del producto,Registrar la solicitud,,Atender solicitudes de usuario
cerrar solicitud ,T160021,ARQ123,Ejecutar cuadre contable del producto,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160021,ARQ123,Ejecutar cuadre contable del producto,Cerrar solicitud novedad,,
recibir solicitud de asignación de tasa especial de oe ,T160021,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
recibir solicitud ,T160087,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
notificar inconsistencia ,T160087,ARQ123,Ejecutar cuadre contable del producto,Notificar inconsistencias,,
notificar al cliente ,T160087,ARQ123,Ejecutar cuadre contable del producto,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud del cliente y radicar solicitud ,T160087,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
recibir solicitud del cliente ,T160087,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
recibir solicitud generación de paz y salvo para obligación ,T160107,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
reportar inconsistencias ,T160220,ARQ027,Atender solicitudes de usuario,Detectar y reportar inconsistencias operativas,,
segmentar clientes potenciales ,T160220,ARQ027,Atender solicitudes de usuario,Segmentar cliente,,
segmentar clientes potenciales ,T160220,ARQ027,Atender solicitudes de usuario,Segmentar cliente,,Realizar VinculaciÃ³n
reportar inconsistencias ,T160220,ARQ005,Aplicar novedad,Detectar y reportar inconsistencias operativas,,
generar informe ,T160220,ARQ027,Atender solicitudes de usuario,Generar informes de monitoreo,,
generar documento legal [act369] ,T160220,ARQ027,Atender solicitudes de usuario,Generar documento,,Abrir producto
generar documento legal [act369] ,T160220,ARQ027,Atender solicitudes de usuario,Generar documento,,Aplicar novedad
rechazar ,T160264,ARQ005,Aplicar novedad,Aprobar/rechazar accesos,,
rechazar ,T160264,ARQ005,Aplicar novedad,Rechazar documento,,Procesar documento
atender solicitud ,T160264,ARQ005,Aplicar novedad,Atender solicitudes de entes externos.,,
atender solicitud ,T160264,ARQ005,Aplicar novedad,Atender solicitudes de desembolso,,
atender solicitud ,T160264,ARQ005,Aplicar novedad,Atender solicitudes AQR's ,,
atender solicitud ,T160264,ARQ005,Aplicar novedad,Atender solicitudes del usuario,,
recibir solicitud con la novedad ,T160264,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
recibir solicitud ,T160264,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
recibir solicitud ,T160264,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud modelamiento o accesos ,T160264,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
registrar la solicitud ,T160269,ARQ005,Aplicar novedad,Registrar la solicitud,,Atender solicitudes de usuarios
registrar la solicitud ,T160269,ARQ005,Aplicar novedad,Registrar la solicitud,,Atender solicitudes de usuario
cerrar solicitud ,T160269,ARQ027,Atender solicitudes de usuario,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160269,ARQ027,Atender solicitudes de usuario,Cerrar solicitud novedad,,
recibir solicitud de cambio de cupo ,T160269,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
recibir solicitud de aumento de cupo ,T160269,ARQ005,Aplicar novedad,Recibir solicitud,,
cerrar solicitud ,T160269,ARQ005,Aplicar novedad,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160269,ARQ005,Aplicar novedad,Cerrar solicitud novedad,,
compensar ,T160269,ARQ005,Aplicar novedad,Calcular valor a compensar,,Procesar compensaciÃ³n
c005 autenticar al cliente ,T160269,ARQ027,Atender solicitudes de usuario,Autenticar al cliente,,Abrir producto
recibir solicitud cambio cupo global ,T160269,ARQ005,Aplicar novedad,Recibir solicitud,,
generar informes ,T160269,ARQ027,Atender solicitudes de usuario,Generar informes de monitoreo,,
ejecutar control ,T160288,ARQ027,Atender solicitudes de usuario,Ejecutar controles,,
ejecutar control ,T160288,ARQ027,Atender solicitudes de usuario,Ejecutar control de calidad (QA) previo a publicaciÃ³n,,
aqr ,T160290,ARQ027,Atender solicitudes de usuario,Atender solicitudes AQR's ,,
gestionar novedades ,T160290,ARQ027,Atender solicitudes de usuario,Gestionar novedades para campos protegidos,,
identificar novedades ,T160290,ARQ027,Atender solicitudes de usuario,Identificar novedades de forma proactiva ,,
cerrar caso de novedad ,T160290,ARQ005,Aplicar novedad,Cerrar caso.,,
realizar ajuste ,T160290,ARQ005,Aplicar novedad,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
perfilar clientes preaprobados digitales ,T160461,ARQ027,Atender solicitudes de usuario,Perfilar clientes,,Ninguno
perfilar clientes potenciales ,T160461,ARQ027,Atender solicitudes de usuario,Perfilar clientes,,Ninguno
notificar al cliente ,T160465,ARQ027,Atender solicitudes de usuario,Notificar al clientes activaciÃ³n del producto,,
recibir solicitudes empresariales ,T160487,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
certificar cuenta contable [act364] ,T160487,ARQ005,Aplicar novedad,Certificar cuenta,,Ejecutar el cuadre contable del producto
comunicar ,T160487,ARQ005,Aplicar novedad,Comunicar resultado de asesorÃ­a,,
comunicar ,T160487,ARQ027,Atender solicitudes de usuario,Comunicar resultado de asesorÃ­a,,
recibir solicitud ,T160487,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud ,T160487,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
aplicar novedad ,T160487,ARQ005,Aplicar novedad,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T160487,ARQ005,Aplicar novedad,Aplicar novedad financiera,,Aplicar novedad
reportar inconsistencias ,T160487,ARQ027,Atender solicitudes de usuario,Detectar y reportar inconsistencias operativas,,
recibir solicitud cliente ,T160494,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
generar viabilidad ,T160558,ARQ027,Atender solicitudes de usuario,Generar viabilidad legal,,Estructurar producto
generar viabilidad ,T160558,ARQ027,Atender solicitudes de usuario,Generar viabilidad financiera,,Estructurar producto
generar viabilidad ,T160558,ARQ027,Atender solicitudes de usuario,Generar viabilidad tÃ©cnica,,Estructurar producto
recibir solicitud generación otro si ,T160612,ARQ027,Atender solicitudes de usuario,Recibir solicitud,,
gestionar cambio ,T160612,ARQ005,Aplicar novedad,Gestionar cambios de Ãºltima hora y reprogramaciones,,
cerrar caso ,T160612,ARQ027,Atender solicitudes de usuario,Cerrar caso.,,
generar documento otro si ,T160612,ARQ005,Aplicar novedad,Generar documento,,Abrir producto
generar documento otro si ,T160612,ARQ005,Aplicar novedad,Generar documento,,Aplicar novedad
ejecutar acciones ,T160612,ARQ005,Aplicar novedad,Ejecutar acciones para cierre de brechas de precios respecto a politica de precio,,
ejecutar acciones ,T160612,ARQ005,Aplicar novedad,Ejecutar acciones de atracciÃ³n de clientes para ventas digitales,,
recibir solicitud generación otro si ,T160612,ARQ005,Aplicar novedad,Recibir solicitud,,
cerrar caso ,T160612,ARQ005,Aplicar novedad,Cerrar caso.,,
recibir solicitud del cliente ,T160621,ARQ005,Aplicar novedad,Recibir solicitud,,
atender solicitud ,T160621,ARQ005,Aplicar novedad,Atender solicitudes de entes externos.,,
atender solicitud ,T160621,ARQ005,Aplicar novedad,Atender solicitudes de desembolso,,
atender solicitud ,T160621,ARQ005,Aplicar novedad,Atender solicitudes AQR's ,,
atender solicitud ,T160621,ARQ005,Aplicar novedad,Atender solicitudes del usuario,,
notificar al cliente ,T160621,ARQ005,Aplicar novedad,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud de mantenimiento por parte del cliente ,T160621,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud ,T160621,ARQ005,Aplicar novedad,Recibir solicitud,,
cerrar solicitud ,T160621,ARQ005,Aplicar novedad,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160621,ARQ005,Aplicar novedad,Cerrar solicitud novedad,,
recibir solicitud por parte del cliente ,T160621,ARQ005,Aplicar novedad,Recibir solicitud,,
notificar al cliente ,T160621,ARQ013,Ejecutar transacción monetaria,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud de mantenimiento por parte del cliente ,T160621,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
recibir solicitud ,T160621,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
cerrar solicitud ,T160621,ARQ013,Ejecutar transacción monetaria,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160621,ARQ013,Ejecutar transacción monetaria,Cerrar solicitud novedad,,
recibir solicitud por parte del cliente ,T160621,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
realizar seguimiento ,T160622,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160622,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160622,ARQ013,Ejecutar transacción monetaria,Realizar seguimiento a planes de acciÃ³n.,,
gestionar novedades ,T160642,ARQ013,Ejecutar transacción monetaria,Gestionar novedades para campos protegidos,,
1\. identificar tipo de novedad ,T160642,ARQ013,Ejecutar transacción monetaria,Identificar tipo de novedad,,Aplicar novedad
1\. identificar tipo de novedad ,T160642,ARQ013,Ejecutar transacción monetaria,Identificar tipo de novedad,,Aplicar novedades
recibir solicitud ,T160642,ARQ005,Aplicar novedad,Recibir solicitud,,
generar asiento contable ,T160642,ARQ005,Aplicar novedad,Generar asiento contable,,Ejecutar el cuadre contable del producto
contingencia ,T160642,ARQ005,Aplicar novedad,Gestionar contingencias de ejecuciÃ³n,,
contingencia ,T160642,ARQ005,Aplicar novedad,Gestionar contingencias en experiencias de venta digital,,
contingencia ,T160642,ARQ005,Aplicar novedad,Atender contingencias operativas,,
generar informe ,T160657,ARQ005,Aplicar novedad,Generar informes de monitoreo,,
generar informes ,T160657,ARQ005,Aplicar novedad,Generar informes de monitoreo,,
recibir solicitud ,T160659,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
autenticar al cliente ,T160659,ARQ005,Aplicar novedad,Autenticar al cliente,,Abrir producto
recibir solicitud de otro banco ,T160659,ARQ005,Aplicar novedad,Recibir solicitud,,
recibir solicitud de cancelación ,T160659,ARQ123,Ejecutar cuadre contable del producto,Recibir solicitud,,
cerrar solicitud ,T160659,ARQ123,Ejecutar cuadre contable del producto,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T160659,ARQ123,Ejecutar cuadre contable del producto,Cerrar solicitud novedad,,
solicitar ajuste ,T160659,ARQ123,Ejecutar cuadre contable del producto,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
recibir respuesta ,T160659,ARQ005,Aplicar novedad,Recibir respuesta del limite,,
extraer datos ,T160667,ARQ005,Aplicar novedad,Extraer datos e informaciÃ³n,,
gestionar novedades ,T160667,ARQ005,Aplicar novedad,Gestionar novedades para campos protegidos,,
procesar datos ,T160667,ARQ005,Aplicar novedad,Procesar dato,,Generar informaciÃ³n
procesar datos ,T160667,ARQ022,Generar información,Procesar dato,,Generar informaciÃ³n
extraer datos ,T160667,ARQ022,Generar información,Extraer datos e informaciÃ³n,,
gestionar novedades ,T160667,ARQ022,Generar información,Gestionar novedades para campos protegidos,,
recibir solicitud de parámetro ,T160668,ARQ022,Generar información,Recibir solicitud,,
guardar ,T160668,ARQ093,Constituir colaterales,Guardar el resultado de la simulaciÃ³n,,Abrir producto
guardar ,T160668,ARQ093,Constituir colaterales,Guardar el resultado de la simulaciÃ³n,,Aplicar novedad
solicitar ajuste ,T160668,ARQ093,Constituir colaterales,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
atender novedad ,T160668,ARQ093,Constituir colaterales,Atender novedades por cambios de tarifas,,
atender novedad ,T160668,ARQ093,Constituir colaterales,Atender novedades operativas,,
solicitar ajustes ,T160668,ARQ093,Constituir colaterales,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
aplicar cambio ,T160668,ARQ093,Constituir colaterales,Aplicar cambios solicitados,,
elaborar informe o reporte [cmp86] ,T160668,ARQ093,Constituir colaterales,Elaborar informe o reporte,,Generar informaciÃ³n
recibir solicitud o novedad ,T160668,ARQ093,Constituir colaterales,Recibir solicitud,,
gestionar novedad ,T160668,ARQ093,Constituir colaterales,Gestionar novedades para campos protegidos,,
cerrar caso ,T160668,ARQ093,Constituir colaterales,Cerrar caso.,,
atender requerimientos ,T160668,ARQ093,Constituir colaterales,Atender requerimientos de auditorÃ­a,,
atender requerimiento ,T160668,ARQ093,Constituir colaterales,Atender requerimientos de auditorÃ­a,,
notificar al cliente ,T160668,ARQ093,Constituir colaterales,Notificar al clientes activaciÃ³n del producto,,
recibir solicitud servicio ,T160668,ARQ093,Constituir colaterales,Recibir solicitud,,
realizar ajuste ,PAN040107,ARQ093,Constituir colaterales,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
realizar ajuste ,PAN040107,ARQ013,Ejecutar transacción monetaria,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
recibir solicitud de activación ,PAN040107,ARQ093,Constituir colaterales,Recibir solicitud,,
recibir solicitud ,PAN040107,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
recibir documentos ,PAN040107,ARQ093,Constituir colaterales,Recibir documentos comerciales,,
gestionar y custodiar documentos ,PAN040107,ARQ013,Ejecutar transacción monetaria,Custodiar documento,,Procesar documento
recibir documentos ,PAN040107,ARQ013,Ejecutar transacción monetaria,Recibir documentos comerciales,,
m: gestión de servicios corporativos p: custodiar documentos pagaré panamá ,PAN040212,ARQ013,Ejecutar transacción monetaria,Custodiar documento,,Procesar documento
recibir solicitudes en línea ,PAN050305,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
recibir solicitud ,PAN050305,ARQ093,Constituir colaterales,Recibir solicitud,,
recibir respuesta ,PTO160301,ARQ093,Constituir colaterales,Recibir respuesta del limite,,
recibir solicitud de autorización ,PTO160301,ARQ093,Constituir colaterales,Recibir solicitud,,
recibir respuesta ,PTO160301,ARQ013,Ejecutar transacción monetaria,Recibir respuesta del limite,,
custodiar documentos en repositorio oficial ,T051005,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Custodiar documento,,Procesar documento
Capturar datos,T051005,ARQ002,Abrir producto,Capturar datos,,Administrar servicio en canales
Capturar datos,T051005,ARQ002,Abrir producto,Capturar datos e interacciones del cliente,,Ninguno
atender solicitudes ,T051005,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Atender solicitudes de entes externos.,,
atender solicitudes ,T051005,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Atender solicitudes de desembolso,,
atender solicitudes ,T051005,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Atender solicitudes AQR's ,,
atender solicitudes ,T051005,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Atender solicitudes del usuario,,
informar resultado ,T051005,ARQ002,Abrir producto,Emitir e informar resultado,,
c006 evaluar debida diligencia alto riesgo y otros ,T051009,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Evaluar debida diligencia,,Realizar VinculaciÃ³n
c008 evaluar debida diligencia fatca/crs ,T051009,ARQ002,Abrir producto,Evaluar debida diligencia,,Realizar VinculaciÃ³n
c007 evaluar debida diligencia fatca/crs ,T051009,ARQ002,Abrir producto,Evaluar debida diligencia,,Realizar VinculaciÃ³n
c007 evaluar debida diligencia alto riesgo y otros ,T051009,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Evaluar debida diligencia,,Realizar VinculaciÃ³n
c006 evaluar debida diligencia pep ,T051009,ARQ002,Abrir producto,Evaluar debida diligencia,,Realizar VinculaciÃ³n
aplicar medidas restrictivas ,T051009,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Aplicar medidas restrictivas,,
cerrar solicitud ,T051009,ARQ002,Abrir producto,Cerrar solicitudes de cumplimiento,,
cerrar solicitud ,T051009,ARQ002,Abrir producto,Cerrar solicitud novedad,,
identificar oportunidad ,T051910,ARQ039,Ejecutar el desembolso,"Identificar oportunidades de optimizaciÃ³n de comunicaciones (Horarios, insights del cliente, frecuencia)",,
identificar oportunidad ,T051910,ARQ039,Ejecutar el desembolso,Identificar oportunidades de mejora del proceso de contenidos,,
identificar oportunidad ,T051910,ARQ039,Ejecutar el desembolso,Identificar oportunidades de optimizaciÃ³n del catÃ¡logo y de las condiciones,,
identificar oportunidad ,T051910,ARQ039,Ejecutar el desembolso,Identificar oportunidades de optimizaciÃ³n de experiencia digital por mercado,,
identificar oportunidad ,T051910,ARQ039,Ejecutar el desembolso,Identificar oportunidades de optimizaciÃ³n de inversiÃ³n y contenidos,,
identificar oportunidad ,T051910,ARQ039,Ejecutar el desembolso,Identificar oportunidades y amenazas para la estrategia de mercadeo,,
identificar oportunidad ,T051910,ARQ039,Ejecutar el desembolso,Identificar oportunidades de ajustes,,Crear y evolucionar modelos de pricing
generar documento (cmf04) ,T051910,ARQ039,Ejecutar el desembolso,Generar documento,,Abrir producto
generar documento (cmf04) ,T051910,ARQ039,Ejecutar el desembolso,Generar documento,,Aplicar novedad
entregar producto [act151] ,T051924,ARQ005,Aplicar novedad,Entregar producto,,Aplicar novedad
realizar firma [cmt78] ,T051924,ARQ002,Abrir producto,Realizar firma,,Abrir producto
notificar al cliente ,T051924,ARQ002,Abrir producto,Notificar al clientes activaciÃ³n del producto,,
realizar seguimiento ,T051924,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T051924,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T051924,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Realizar seguimiento a planes de acciÃ³n.,,
habilitar pago ,T051924,ARQ002,Abrir producto,Habilitar pago de obligaciones,,
entregar producto [act151] ,T051924,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Entregar producto,,Aplicar novedad
aplicar novedad ,T070203,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T070203,ARQ120,Asegurar disponibilidad de productos financieros fisicos,Aplicar novedad financiera,,Aplicar novedad
gestionar novedades ,T070203,ARQ013,Ejecutar transacción monetaria,Gestionar novedades para campos protegidos,,
generar reportes ,T070203,ARQ013,Ejecutar transacción monetaria,Generar reportes de auditorÃ­as realizadas,,
monitorear experiencias ,T070203,ARQ013,Ejecutar transacción monetaria,"Monitorear experiencias, ofertas y alianzas",,
monitorear experiencias ,T070203,ARQ013,Ejecutar transacción monetaria,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencias ,T070203,ARQ013,Ejecutar transacción monetaria,Monitorear experiencia,,Atender solicitudes de usuario
aplicar novedad ,T070203,ARQ013,Ejecutar transacción monetaria,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T070203,ARQ013,Ejecutar transacción monetaria,Aplicar novedad financiera,,Aplicar novedad
aplicar novedad ,T070203,ARQ002,Abrir producto,Aplicar novedad no financiera,,Aplicar novedad
aplicar novedad ,T070203,ARQ002,Abrir producto,Aplicar novedad financiera,,Aplicar novedad
gestionar novedades ,T070203,ARQ002,Abrir producto,Gestionar novedades para campos protegidos,,
generar reportes ,T070203,ARQ002,Abrir producto,Generar reportes de auditorÃ­as realizadas,,
monitorear experiencias ,T070203,ARQ002,Abrir producto,"Monitorear experiencias, ofertas y alianzas",,
monitorear experiencias ,T070203,ARQ002,Abrir producto,Monitorear experiencia,,Atender solicitudes de usuarios
monitorear experiencias ,T070203,ARQ002,Abrir producto,Monitorear experiencia,,Atender solicitudes de usuario
construir reportes bajo ifrs y full ,T080130,ARQ002,Abrir producto,Construir reportes,,
atender requerimientos ,T080130,ARQ002,Abrir producto,Atender requerimientos de auditorÃ­a,,
gestionar riesgo ,T080802,ARQ002,Abrir producto,Gestionar riesgos reputacionales con aliados,,
gestionar riesgo ,T080802,ARQ002,Abrir producto,Gestionar riesgos reputacionales y de cumplimiento asociados a aliados,,
c005:certificar cuenta ,T080902,ARQ002,Abrir producto,Certificar cuenta,,Ejecutar el cuadre contable del producto
solicitar ajuste ,T080902,ARQ002,Abrir producto,Solicitar ajustes a cobros realizados,,Solicitar el pago de proveedores y aliados
realizar ajuste ,T080902,ARQ002,Abrir producto,Realizar ajuste a la estructuraciÃ³n del producto,,Estructurar producto
certificar cuenta ,T080902,ARQ002,Abrir producto,Certificar cuenta,,Ejecutar el cuadre contable del producto
c009 certificar cuenta ,T080902,ARQ002,Abrir producto,Certificar cuenta,,Ejecutar el cuadre contable del producto
escalar novedad ,T081001,ARQ056,Administrar el servicio de los canales,Escalar novedades,,
contingencia ,T090303,ARQ013,Ejecutar transacción monetaria,Gestionar contingencias de ejecuciÃ³n,,
contingencia ,T090303,ARQ013,Ejecutar transacción monetaria,Gestionar contingencias en experiencias de venta digital,,
contingencia ,T090303,ARQ013,Ejecutar transacción monetaria,Atender contingencias operativas,,
recibir solicitud de contabilización ,T140004,ARQ005,Aplicar novedad,Recibir solicitud,,
notificar inconsistencias ,T140112,ARQ005,Aplicar novedad,Notificar inconsistencias,,
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar denuncias y reportes.,,
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar Alertas de cumplimiento.,,
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar solicitudes de cumplimiento.,,
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar el incidente,,
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar necesidad,,Atender solicitudes de usuarios
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar necesidad,,Atender solicitudes de usuario
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar documento,,Procesar documento
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar diferencia contable,,Ejecutar el cuadre contable del producto
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar mora,,
clasificar ,T140705,ARQ005,Aplicar novedad,Clasificar novedades,,
recibir solicitud ,T140705,ARQ005,Aplicar novedad,Recibir solicitud,,
gestionar las diferencias ,T160050,ARQ001,Realizar Estudio de Crédito,Gestionar las diferencias contables,,
recibir solicitud de novedad del establecimiento ,T160057,ARQ001,Realizar Estudio de Crédito,Recibir solicitud,,
escalar novedad ,T160057,ARQ001,Realizar Estudio de Crédito,Escalar novedades,,
custodiar documento ,T160057,ARQ001,Realizar Estudio de Crédito,Custodiar documento,,Procesar documento
cerrar caso como exitoso en flujo de flujos ,T160057,ARQ001,Realizar Estudio de Crédito,Cerrar caso.,,
recibir solicitud y cargar plantilla en ruta controles ,T160057,ARQ001,Realizar Estudio de Crédito,Recibir solicitud,,
atender solicitud ,T160108,ARQ013,Ejecutar transacción monetaria,Atender solicitudes de entes externos.,,
atender solicitud ,T160108,ARQ013,Ejecutar transacción monetaria,Atender solicitudes de desembolso,,
atender solicitud ,T160108,ARQ013,Ejecutar transacción monetaria,Atender solicitudes AQR's ,,
atender solicitud ,T160108,ARQ013,Ejecutar transacción monetaria,Atender solicitudes del usuario,,
recibir solicitud de mantenimiento por parte del cliente ,T160108,ARQ013,Ejecutar transacción monetaria,Recibir solicitud,,
entregar productos débito al subgerente ,T160141,ARQ002,Abrir producto,Entregar producto,,Aplicar novedad
realizar trazabilidad ,T160141,ARQ002,Abrir producto,Realizar trazabilidad solicitudes y aprobaciones de excepcion,,
realizar trazabilidad ,T160141,ARQ002,Abrir producto,Realizar trazabilidad de la venta digital,,
gestionar novedades ,T160141,ARQ002,Abrir producto,Gestionar novedades para campos protegidos,,
gestionar las diferencias ,T160141,ARQ002,Abrir producto,Gestionar las diferencias contables,,
generar documentos de la operación ,T160146,ARQ002,Abrir producto,Generar documento,,Abrir producto
generar documentos de la operación ,T160146,ARQ002,Abrir producto,Generar documento,,Aplicar novedad
realizar registro contable ,T160159,ARQ005,Aplicar novedad,Realizar registro contable,,Solicitar el pago de proveedores y aliados
cerrar caso ,T160218,ARQ005,Aplicar novedad,Cerrar caso.,,
certificar cuenta contable ,T160265,ARQ005,Aplicar novedad,Certificar cuenta,,Ejecutar el cuadre contable del producto
realizar seguimiento ,T160265,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160265,ARQ005,Aplicar novedad,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
realizar seguimiento ,T160265,ARQ005,Aplicar novedad,Realizar seguimiento a planes de acciÃ³n.,,
gestionar alertas ,T160265,ARQ005,Aplicar novedad,Gestionar alertas,,
realizar seguimiento ,T160265,ARQ022,Generar información,Realizar seguimiento a planes de acciÃ³n,,
realizar seguimiento ,T160265,ARQ022,Generar información,Realizar seguimiento al desempeÃ±o por etapa del ciclo de vida,,
