Código,Paquete (Nivel 1),Subpaquete (Nivel 2),Capacidad de Procesos (Nivel 3),Descripción,Categoría,Dueño de la Capacidad,Dominio,Subdominio Nivel 1,Subdominio Nivel 2,Propia / Heredada,Reusable,Componentes Relacionados,Arquetipos Relacionado,% Nivel de Calidad,Criterios a Revisar,Retroalimentación,Estado,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Clientes,Estrategia de Clientes,Servicio,,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Clientes,Estrategia de Clientes,Servicio,,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Servicio,Heredada,Si,,Atender solicitudes de usuario,,,,Publicada,,
CP1073,Gestión de solicitudes de clientes,Recibir información,Anexar información al radicado,"Incorporar documentos, evidencias, comentarios o información adicional al radicado, asegurando que el caso cuente con todo el soporte necesario para su análisis y resolución. El anexar información a un caso en proceso o cerrado, implica generar un nuevo ID asociado al radicado inicial.",,,Clientes,Estrategia de Clientes,Servicio,,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1074,Gestión de información,Procesar datos,Aplicar regla de corrección de procesamiento,"Ejecutar reglas predefinidas de corrección sobre la información procesada, ajustando cálculos, clasificaciones o resultados cuando se identifican errores, inconsistencias o desviaciones",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Generar información,,,,Publicada,,
CP1074,Gestión de información,Procesar datos,Aplicar regla de corrección de procesamiento,"Ejecutar reglas predefinidas de corrección sobre la información procesada, ajustando cálculos, clasificaciones o resultados cuando se identifican errores, inconsistencias o desviaciones",,,Gestión de la información,Analítica Avanzada,Analítica descriptiva,,Si,,Generar información,,,,Publicada,,
CP1074,Gestión de información,Procesar datos,Aplicar regla de corrección de procesamiento,"Ejecutar reglas predefinidas de corrección sobre la información procesada, ajustando cálculos, clasificaciones o resultados cuando se identifican errores, inconsistencias o desviaciones",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva,Heredada,Si,,Generar información,,,,Publicada,,
CP1076,Gestión de información,Publicar información,Validar contenido de publicación,"Revisa y confirma que el contenido a publicar sea correcto, completo y coherente, asegurando que cumpla con los lineamientos definidos, el objetivo de comunicación y los criterios de calidad antes de su difusión.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Generar información,,,,Publicada,,
CP1076,Gestión de información,Publicar información,Validar contenido de publicación,"Revisa y confirma que el contenido a publicar sea correcto, completo y coherente, asegurando que cumpla con los lineamientos definidos, el objetivo de comunicación y los criterios de calidad antes de su difusión.",,,Gestión de la información,Analítica Avanzada,Analítica descriptiva,,Si,,Generar información,,,,Publicada,,
CP1076,Gestión de información,Publicar información,Validar contenido de publicación,"Revisa y confirma que el contenido a publicar sea correcto, completo y coherente, asegurando que cumpla con los lineamientos definidos, el objetivo de comunicación y los criterios de calidad antes de su difusión.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva,Heredada,Si,,Generar información,,,,Publicada,,
CP1078,Gestión de información,Publicar información,Elaborar informe o reporte,"Recopilar, validar, estructurar y presentar información de manera clara, coherente y oportuna, con base en fuentes oficiales y criterios definidos, para facilitar la toma de decisiones y la comunicación efectiva de resultados.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Generar información,,,,Publicada,,
CP1078,Gestión de información,Publicar información,Elaborar informe o reporte,"Recopilar, validar, estructurar y presentar información de manera clara, coherente y oportuna, con base en fuentes oficiales y criterios definidos, para facilitar la toma de decisiones y la comunicación efectiva de resultados.",,,Gestión de la información,Analítica Avanzada,Analítica descriptiva,,Si,,Generar información,,,,Publicada,,
CP1078,Gestión de información,Publicar información,Elaborar informe o reporte,"Recopilar, validar, estructurar y presentar información de manera clara, coherente y oportuna, con base en fuentes oficiales y criterios definidos, para facilitar la toma de decisiones y la comunicación efectiva de resultados.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva,Heredada,Si,,Generar información,,,,Publicada,,
CP1079,Gestión de información,Contactabilidad,Generar la instrucción de contactabilidad,Generar la instrucción con la información necesaria para asegurar la entrega precisa y oportuna de información a los destinatarios correspondientes,,Clientes,Clientes,Relacionamiento con clientes,Analítica descriptiva,Propia,Si,,Abrir producto,,,,Publicada,,
CP1079,Gestión de solicitudes de clientes,Contactabilidad,Generar la instrucción de contactabilidad,Generar la instrucción con la información necesaria para asegurar la entrega precisa y oportuna de información a los destinatarios correspondientes,,Clientes,Clientes,Relacionamiento con clientes,Gestión de la Contactabilidad,Propia,Si,,Atender solicitudes de usuarios,,,,Publicada,,
CP1079,Gestión de solicitudes de usuario,Contactabilidad,Generar la instrucción de contactabilidad,Generar la instrucción con la información necesaria para asegurar la entrega precisa y oportuna de información a los destinatarios correspondientes,,Clientes,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Heredada,Si,,Abrir producto,,,,Publicada,,
CP1079,Gestión de solicitudes de usuario,Contactabilidad,Generar la instrucción de contactabilidad,Generar la instrucción con la información necesaria para asegurar la entrega precisa y oportuna de información a los destinatarios correspondientes,,Clientes,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Gestión de la contactabilidad,Heredada,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP1079,Gestión de solicitudes de usuario,Contactabilidad,Generar la instrucción de contactabilidad,Generar la instrucción con la información necesaria para asegurar la entrega precisa y oportuna de información a los destinatarios correspondientes,,Clientes,Negocios,"Medios de pago, soluciones para empresas, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Heredada,Si,,Procesar compensación,,,,Publicada,,
CP1079,Gestión de solicitudes de usuario,Contactabilidad,Generar la instrucción de contactabilidad,Generar la instrucción con la información necesaria para asegurar la entrega precisa y oportuna de información a los destinatarios correspondientes,,Clientes,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional","Depósitos a la vista, depósitos a plazo, tarjeta crédito, tarjeta débito, pagos digitales, cheques, recaudos, adquirencia, aceptación digital, pagos empresariales",Heredada,Si,,Atender solicitudes de usuario,,,,Publicada,,
CP1080,Gestión de información,Procesar datos,Monitorear información,"Vigilar de forma continua y sistemática la información generada, verificando su disponibilidad, integridad, oportunidad y consistencia, con el fin de detectar desviaciones, anomalías o eventos relevantes que requieran alertamiento, análisis o acciones posteriores.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Si,,Generar información,,,,Publicada,,
CP1080,Gestión de información,Procesar datos,Monitorear información,"Vigilar de forma continua y sistemática la información generada, verificando su disponibilidad, integridad, oportunidad y consistencia, con el fin de detectar desviaciones, anomalías o eventos relevantes que requieran alertamiento, análisis o acciones posteriores.",,,Gestión de la información,Analítica Avanzada,Analítica descriptiva,,Si,,Generar información,,,,Publicada,,
CP1080,Gestión de información,Procesar datos,Monitorear información,"Vigilar de forma continua y sistemática la información generada, verificando su disponibilidad, integridad, oportunidad y consistencia, con el fin de detectar desviaciones, anomalías o eventos relevantes que requieran alertamiento, análisis o acciones posteriores.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Analítica descriptiva,Heredada,Si,,Generar información,,,,Publicada,,
CP1089,Gestión de la apertura,Crear producto,Consultar tasa de cambio,"Obtener y exponer  la tasa de cambio vigente o aplicable, permitiendo informar al cliente y a los procesos sobre el valor de referencia necesario para la evaluación, formalización o ejecución de productos, documentos o transacciones.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",N/A,Heredada,Si,,Abrir producto,,,,Publicada,,
CP1089,Gestión de uso del producto,Crear instrucción de la transacción,Consultar tasa de cambio,"Obtener y exponer  la tasa de cambio vigente o aplicable, permitiendo informar al cliente y a los procesos sobre el valor de referencia necesario para la evaluación, formalización o ejecución de productos, documentos o transacciones.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Consultar tasa de cambio,Heredada,Si,,Ejecutar transacción monetaria,,,,Publicada,,
CP1093,Gestión de la apertura,Crear producto,Desembolsar producto,"Materializar la entrega de los recursos asociados a un producto aprobado, realizando el desembolso efectivo del dinero de acuerdo con las condiciones definidas en la operación.
Esta capacidad permite ejecutar el desembolso del producto, validando que se cumplan los requisitos previos (aprobaciones, garantías, vigencias, condiciones contractuales y destino de los recursos) y realizando la transferencia de fondos al cliente o a un tercero autorizado, según lo establecido.",,,Negocios,Financiación,Por definir,Propia,Si,,Abrir producto,,,,Publicada,,
CP1094,Gestión de la apertura,Evaluar viabilidad del cliente para el producto,Determinar viabilidad jurídica del bien o garantía,"Analizar y verificar la situación jurídica de un bien o activo que respalda la apertura de un producto, con el fin de determinar su viabilidad legal y mitigar riesgos jurídicos asociados a la operación. Esta capacidad permite revisar la información legal relevante, como la titularidad, la cadena de tradición, las limitaciones, gravámenes o afectaciones existentes, y establecer si el bien cumple con las condiciones requeridas para continuar con el proceso de apertura del producto. Determinar el valor económico de un bien o activo que respalda la apertura de un producto, con el fin de establecer su valor de mercado y soportar la toma de decisiones del negocio.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",Por definir,Heredada,Si,,Abrir producto,,,,Publicada,,
CP1095,Cobro y novedades,Validar reglas de la novedad en el producto,Consultar Límite de Endeudamiento,"Obtener y visualizar el Límite Máximo de Endeudamiento (LME), sus sublímites (cartera, compromisos, trade, cuenta corriente, tesorería, entre otros), la vigencia del cupo, el valor disponible y utilizado, y las condiciones asociadas definidas por las instancias de aprobación y las políticas del banco.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP1095,Gestión de novedades,Validar reglas de la novedad en el producto,Consultar Límite de Endeudamiento,"Obtener y visualizar el Límite Máximo de Endeudamiento (LME), sus sublímites (cartera, compromisos, trade, cuenta corriente, tesorería, entre otros), la vigencia del cupo, el valor disponible y utilizado, y las condiciones asociadas definidas por las instancias de aprobación y las políticas del banco.",,,Negocios,"Medios de pago, financiación",Por definir,Heredada,Si,,Aplicar novedad,,,,Publicada,,
CP1098,Gestión de la apertura,Cerrar negociación con cliente,Asignar sucursal de radicación,"Consultar los parámetros funcionales de una sucursal con el fin de determinar su habilitación para participar en procesos operativos y comerciales del banco, conforme a los criterios definidos por la organización.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",N/A,Heredada,Si,,Abrir producto,,,,Publicada,,
CP1099,Cobro y novedades,Validar reglas de la novedad en el producto,Consultar información de canales,"Obtener y validar información relevante de los canales de atención involucrados en una novedad, con el fin de verificar condiciones operativas, estados, restricciones o eventos asociados, que permitan definir, ejecutar o corroborar correctamente la aplicación de la novedad.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP1099,Gestión de novedades,Validar reglas de la novedad en el producto,Consultar información de canales,"Obtener y validar información relevante de los canales de atención involucrados en una novedad, con el fin de verificar condiciones operativas, estados, restricciones o eventos asociados, que permitan definir, ejecutar o corroborar correctamente la aplicación de la novedad.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",N/A,Heredada,Si,,Aplicar novedad,,,,Publicada,,
CP1100,Gestión documental,Recolectar documento,Recopilar documento,"Capturar formalmente el documento proveniente de un canal (digital o físico), registrando su recepción, su origen, el contexto (caso/solicitud) y los atributos mínimos necesarios para habilitar su procesamiento posterior.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1100,Gestión documental,Recolectar documento,Recopilar documento,"Capturar formalmente el documento proveniente de un canal (digital o físico), registrando su recepción, su origen, el contexto (caso/solicitud) y los atributos mínimos necesarios para habilitar su procesamiento posterior.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1101,Gestión documental,Recolectar documento,Clasificar documento,"Determinar la categoría y el tipo documental (p. ej., contrato, cédula, extracto, formulario, soporte), asignándolo a una tipología estándar para orientar reglas de validación, tratamiento, retención, metadatos, indexación y custodia.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1101,Gestión documental,Recolectar documento,Clasificar documento,"Determinar la categoría y el tipo documental (p. ej., contrato, cédula, extracto, formulario, soporte), asignándolo a una tipología estándar para orientar reglas de validación, tratamiento, retención, metadatos, indexación y custodia.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1102,Gestión documental,Recolectar documento,Validar integridad y conformidad documental,"Verificar que el documento esté completo y cumpla reglas definidas (formato, vigencia, legibilidad, firmas, consistencia de datos, anexos obligatorios, autenticidad según aplique), para decidir si continúa.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1102,Gestión documental,Recolectar documento,Validar integridad y conformidad documental,"Verificar que el documento esté completo y cumpla reglas definidas (formato, vigencia, legibilidad, firmas, consistencia de datos, anexos obligatorios, autenticidad según aplique), para decidir si continúa.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1103,Gestión documental,Recolectar documento,Rechazar documento,"Declarar no aceptable un documento cuando no cumple los requisitos mínimos definidos (calidad, integridad, completitud, validez u otros criterios documentales aplicables), evitando que sea usado como soporte del proceso y determinando un resultado formal de rechazo que permita al canal o proceso emisor entender la decisión.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1103,Gestión documental,Recolectar documento,Rechazar documento,"Declarar no aceptable un documento cuando no cumple los requisitos mínimos definidos (calidad, integridad, completitud, validez u otros criterios documentales aplicables), evitando que sea usado como soporte del proceso y determinando un resultado formal de rechazo que permita al canal o proceso emisor entender la decisión.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1104,Gestión documental,Recolectar documento,Validar reglas documentales de la solicitud,"Confirmar que, para una solicitud, la documentación exigida por el producto/trámite está completa (incluye los documentos obligatorios requeridos) y generar un resultado que indique cumple o no cumple.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1104,Gestión documental,Recolectar documento,Validar reglas documentales de la solicitud,"Confirmar que, para una solicitud, la documentación exigida por el producto/trámite está completa (incluye los documentos obligatorios requeridos) y generar un resultado que indique cumple o no cumple.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1105,Gestión documental,Consolidar soporte documental,Digitalizar documento,"Convertir el documento físico a formato digital (imagen o PDF, según estándar), asegurando parámetros de captura como resolución, orientación, color, compresión, tamaño y estructura de archivo, para habilitar su uso y conservación digital.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1105,Gestión documental,Consolidar soporte documental,Digitalizar documento,"Convertir el documento físico a formato digital (imagen o PDF, según estándar), asegurando parámetros de captura como resolución, orientación, color, compresión, tamaño y estructura de archivo, para habilitar su uso y conservación digital.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1106,Gestión documental,Consolidar soporte documental,Controlar calidad de la digitalización,"Evaluar la calidad del archivo digital generado confirmando criterios como legibilidad, completitud (todas las páginas), nitidez, ausencia de cortes/sombras, orientación correcta y consistencia del lote, para aprobar o repetir la digitalización.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1106,Gestión documental,Consolidar soporte documental,Controlar calidad de la digitalización,"Evaluar la calidad del archivo digital generado confirmando criterios como legibilidad, completitud (todas las páginas), nitidez, ausencia de cortes/sombras, orientación correcta y consistencia del lote, para aprobar o repetir la digitalización.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1107,Gestión documental,Consolidar soporte documental,Extraer data líquida,"Extraer información utilizable del documento (texto y/o campos) desde contenido no estructurado o semi-estructurado, usando técnicas como OCR, extracción inteligente y modelos de clasificación, para convertirlo en datos consumibles por sistemas y decisiones.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1107,Gestión documental,Consolidar soporte documental,Extraer data líquida,"Extraer información utilizable del documento (texto y/o campos) desde contenido no estructurado o semi-estructurado, usando técnicas como OCR, extracción inteligente y modelos de clasificación, para convertirlo en datos consumibles por sistemas y decisiones.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1108,Gestión documental,Consolidar soporte documental,Indexar metadatos,"Asignar y registrar metadatos (obligatorios y complementarios) que describen el documento (tipo, identificadores, fechas, cliente/caso, versión, canal, estado, confidencialidad, entre otros), dejando el documento localizable, trazable y recuperable.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1108,Gestión documental,Consolidar soporte documental,Indexar metadatos,"Asignar y registrar metadatos (obligatorios y complementarios) que describen el documento (tipo, identificadores, fechas, cliente/caso, versión, canal, estado, confidencialidad, entre otros), dejando el documento localizable, trazable y recuperable.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1109,Gestión documental,Consolidar soporte documental,Custodiar documento,"Conservar el documento (físico y/o digital) bajo controles de seguridad, acceso, integridad, disponibilidad y retención, asegurando evidencia, trazabilidad y cumplimiento (p. ej., conservación, eliminación, reserva, auditoría).",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1109,Gestión documental,Consolidar soporte documental,Custodiar documento,"Conservar el documento (físico y/o digital) bajo controles de seguridad, acceso, integridad, disponibilidad y retención, asegurando evidencia, trazabilidad y cumplimiento (p. ej., conservación, eliminación, reserva, auditoría).",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1110,Gestión documental,Consolidar soporte documental,Conciliar inventario de documentos,"Verificar la correspondencia entre el inventario de documentos recibidos y el inventario de documentos custodiados, confirmando que cada documento registrado en recepción se encuentre almacenado y localizable en custodia, e identificando y gestionando diferencias (faltantes, duplicados, versiones erróneas o documentos en tránsito) para asegurar completitud, trazabilidad e integridad extremo a extremo.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1110,Gestión documental,Consolidar soporte documental,Conciliar inventario de documentos,"Verificar la correspondencia entre el inventario de documentos recibidos y el inventario de documentos custodiados, confirmando que cada documento registrado en recepción se encuentre almacenado y localizable en custodia, e identificando y gestionando diferencias (faltantes, duplicados, versiones erróneas o documentos en tránsito) para asegurar completitud, trazabilidad e integridad extremo a extremo.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1111,Gestión documental,Consolidar soporte documental,Generar alerta documental,"Emitir una alerta cuando se identifique que la documentación requerida para una solicitud o trámite no está completa o cuando el inventario esperado de documentos no coincide con lo efectivamente disponible para custodia (por ejemplo, documentos que se quedaron en alguna etapa previa y no llegaron a quedar custodiados, o documentos obligatorios que faltaron desde el inicio), dejando explícitos los faltantes para su atención y asegurando la trazabilidad del evento.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",No aplica,Heredada,Si,,Procesar documento,,,,Publicada,,
CP1111,Gestión documental,Consolidar soporte documental,Generar alerta documental,"Emitir una alerta cuando se identifique que la documentación requerida para una solicitud o trámite no está completa o cuando el inventario esperado de documentos no coincide con lo efectivamente disponible para custodia (por ejemplo, documentos que se quedaron en alguna etapa previa y no llegaron a quedar custodiados, o documentos obligatorios que faltaron desde el inicio), dejando explícitos los faltantes para su atención y asegurando la trazabilidad del evento.",,,Habilitación Empresarial,Ciclo de información digital,No aplica,,Si,,Procesar documento,,,,Publicada,,
CP1112,Diseño y modelado,Diseñar modelos de pricing,Configurar modelo de pricing,"Identificar, evaluar y definir las variables que intervienen en la determinación del precio de un producto o servicio, con el fin de construir esquemas de tasas, tarifas o comisiones coherentes con la estrategia de negocio, el valor percibido por el cliente y los objetivos de rentabilidad del banco.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,,,,Crear y evolucionar modelos de pricing,,,,,,
CP1113,Diseño y modelado,Diseñar modelos de pricing,Estructurar reglas y jeraquías,"Definir, organizar y priorizar las reglas que gobiernan la aplicación del precio, con el fin de asegurar una ejecución coherente, controlada y trazable de las políticas de pricing en todos los productos, canales y escenarios de negociación del banco mediante la definición de lógicas de precedencia entre políticas de precio, variables de cliente, atributos de producto, beneficios, descuentos y excepciones, estableciendo qué regla aplica primero, en qué condiciones y con qué nivel de atribución o autorización. Incluye la formalización de jerarquías entre precios plenos, descuentos estándar, beneficios estratégicos y excepciones aprobadas",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,,,,Crear y evolucionar modelos de pricing,,,,,,
CP1114,Cobro y novedades,Validar reglas de la novedad en el producto,Consultar información de usuarios internos,"Obtener y validar información relevante de los usuarios internos involucrados en una novedad, como roles, responsabilidades, autorizaciones, pertenencia organizacional o asignación operativa.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,Heredada,Sí,,Aplicar novedades,,,,Publicada,,
CP1114,Gestión de novedades,Validar reglas de la novedad en el producto,Consultar información de usuarios internos,"Obtener y validar información relevante de los usuarios internos involucrados en una novedad, como roles, responsabilidades, autorizaciones, pertenencia organizacional o asignación operativa.",,,Habilitación empresarial,Gestión humana,N/A,,Si,,Aplicar novedades,,,,Publicada,,
CP1114,Gestión de novedades,Validar reglas de la novedad en el producto,Consultar información de usuarios internos,"Obtener y validar información relevante de los usuarios internos involucrados en una novedad, como roles, responsabilidades, autorizaciones, pertenencia organizacional o asignación operativa.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",N/A,Heredada,Si,,Aplicar novedad,,,,Publicada,,
CP1114,Diseño y modelado,Configurar estructura de precios  y beneficios,Configurar variables de pricing,"Parametrizar y habilitar operativamente las variables de pricing definidas por la estrategia, con el fin de materializar las políticas de precio en los sistemas, simuladores y motores de cálculo del banco, garantizando una aplicación consistente y controlada de tasas, tarifas, comisiones y beneficios.",,,Estrategia de los negocios,Modelo de Precio (pricing),No aplica,,,,Crear y evolucionar modelos de pricing,,,,,,
CP1115,Gestión de la apertura,Evaluar viabilidad del cliente para el producto,Evaluar restricciones del cliente,"Realizar consulta en listas restrictivas de personas, empresas, países, mercancías, puertos, transportes, etc con los que se realiza una negociación, para prevenir y mitigar riesgos.",,,Habilitación Empresarial,Cumplimiento,N/A,,Si,,Abrir producto,,,,Publicada,,
CP1115,Gestión de uso del producto,Crear instrucción de la transacción,Evaluar restricciones del cliente,"Realizar consulta en listas restrictivas de personas, empresas, países, mercancías, puertos, transportes, etc con los que se realiza una negociación, para prevenir y mitigar riesgos.",,,"Negocios, habilitadores de los negocios","Captaciones, medios de pago, soluciones para empresas, negocios no financieros, transferencias, comercio internacional",,Heredada,Si,,Ejecutar transacción monetaria,,,,Publicada,,
